Date,Open,High,Low,Close,Adj Close,Volume
2022-05-27,25.750000,26.370001,25.570000,26.219999,25.968098,7992800
2022-05-30,26.500000,26.540001,25.350000,25.540001,25.294634,7458000
2022-05-31,25.590000,25.730000,25.150000,25.370001,25.126266,29812700
2022-06-01,25.610001,26.430000,25.320000,26.209999,25.958195,7284500
2022-06-02,26.500000,26.629999,25.879999,26.330000,26.077042,6323600
2022-06-03,26.340000,26.340000,25.809999,25.920000,25.670980,4551500
2022-06-06,26.110001,26.440001,25.760000,25.980000,25.730404,5582200
2022-06-07,25.740000,26.070000,25.700001,25.950001,25.700695,6091800
2022-06-08,25.760000,25.840000,24.410000,24.410000,24.175488,15193900
2022-06-09,24.410000,25.059999,24.080000,24.520000,24.284433,12419700
2022-06-10,24.500000,24.639999,23.870001,24.000000,23.769426,9086600
2022-06-13,23.700001,23.980000,23.510000,23.820000,23.591156,14000200
2022-06-14,23.860001,24.500000,23.690001,24.250000,24.017025,10169400
2022-06-15,24.510000,24.510000,23.650000,24.000000,23.769426,15840900
2022-06-17,23.559999,23.629999,22.820000,22.830000,22.610670,16863300
2022-06-20,23.420000,24.469999,23.400000,24.100000,23.868467,15968600
2022-06-21,24.230000,25.379999,24.010000,25.299999,25.056938,21113500
2022-06-22,25.100000,26.200001,24.850000,25.790001,25.542233,13461400
2022-06-23,25.910000,26.350000,25.559999,25.910000,25.661079,10303100
2022-06-24,26.070000,26.980000,25.870001,26.459999,26.205795,11421500
2022-06-27,26.650000,26.700001,25.879999,25.930000,25.722973,6158200
2022-06-28,26.059999,26.520000,25.870001,26.150000,25.941216,5828100
2022-06-29,26.190001,26.440001,25.920000,26.030001,25.822174,4724300
2022-06-30,25.700001,26.580000,25.530001,26.450001,26.238821,10803700
2022-07-01,26.450001,26.889999,25.889999,26.500000,26.288424,7334800
2022-07-04,26.490000,26.940001,26.430000,26.490000,26.278502,4041600
2022-07-05,26.309999,27.200001,26.110001,27.020000,26.804272,9210200
2022-07-06,27.110001,28.049999,26.920000,27.100000,26.883633,11535800
2022-07-07,27.260000,27.790001,26.799999,27.610001,27.389563,8539800
2022-07-08,27.610001,27.650000,26.809999,27.270000,27.052275,5482100
2022-07-11,26.889999,26.950001,26.370001,26.580000,26.367783,6136000
2022-07-12,26.530001,26.870001,26.370001,26.590000,26.377705,5197000
2022-07-13,26.330000,27.090000,25.950001,26.730000,26.516586,7119900
2022-07-14,26.440001,26.830000,26.040001,26.400000,26.189220,6633600
2022-07-15,26.389999,26.790001,25.850000,26.549999,26.338022,6464800
